Code,Parent,Name_de
"26107030","73170","Holzbüstenmacher | Holzbüstenmacherin"
"26107031","75220","Holzzaunmacher | Holzzaunmacherin"
"26107032","81720","Sperrholzmacher | Sperrholzmacherin"
"26107033","81720","Holzwollemacher | Holzwollemacherin"
"26107034","73190","Angelrutenmacher | Angelrutenmacherin"
"26107035","73190","Paddelmacher | Paddelmacherin"
"26107036","75220","Holzwarenmacher | Holzwarenmacherin"
"26107037","81720","Holzmehlmüller | Holzmehlmüllerin"
"26107038","92150","Rander in Holzindustrie | Randerin in Holzindustrie"
"26107039","75200","Fournierzusammensetzer | Fournierzusammensetzerin"
"26107040","75220","Möbelfournierer | Möbelfourniererin"
"26107041","75230","Holzschleifer | Holzschleiferin"
"26107042","81720","Holzwollepresser | Holzwollepresserin"
"26107043","75210","Holztrockner | Holztrocknerin"
"26107044","73190","Blasebalgmacher | Blasebalgmacherin"
"26107045","75220","Brauereiküfer | Brauereiküferin"
"26107046","75200","Arbeiter in Holzhandlung | Arbeiterin in Holzhandlung"
"26107047","75220","Landwagner | Landwagnerin"
"26107049","75220","Weissküfer | Weissküferin"
"26107050","75220","Fassküfer | Fassküferin"
"26107051","75220","Wagner | Wagnerin"
"26107052","75220","Werkstättenküfer | Werkstättenküferin"
"26107053","75220","Käsekübler | Käseküblerin"
"26107054","13210","Küfermeister HFP | Küfermeisterin HFP"
"26107055","75230","Maschinenfräser (Holz) | Maschinenfräserin (Holz)"
"26107056","75220","Kübler | Küblerin"
"26107057","75220","Fassdaubenmacher | Fassdaubenmacherin"
