Name
Bechert-Meyer u. Comp.
Bein u. Comp.
Bonvin u. Comp.
Ciolina J. B. u. Comp.
Ciolina u. Comp.
v. Graffenried v. Gi u. Comp.
Huber u. Cie.
Marcuard u. Comp.
Schmid Beringer u. Comp.
Sommer u. Comp.
