Abteilung
Abtlg.
Administration
Advokaturbureau
A.-G.
AG.
Agentur
Aktiengesellschaft
Alkoholverwaltung
Amt
Amthaus
Anstalt
Apotheke
Apparate
Architekten
Architekturbureau
Armendirektion
Atelier
Autogarage
Bäckerei
Bäckerei-Konditorei
Bank
Bauamt
Bauberatung
Baubureau
Baudirektion
Baugeschäft
Bauschlosserei
Bauunternehmung
Bechert-Meyer u. Comp.
Bein u. Comp.
Bellevue-Palace
Bierbrauerei
Bierdepot
Bijouteriehandlung
BLS
Blumengeschäft
Bonneterie
Bonvin u. Comp.
Botschaft
Brandversicherungsanstalt
Breitenrainschule
Brunnmattschule
Buchbinderei
Buchdruckerei
Buchhandlung
Buchverlag
Bundeskanzlei
Bureau
Bureaus
Burgerspital
Buttergeschäft
Butterhandlung
Café
Café-Restaurant
Chirurgie
Cie.
Ciolina J. B. u. Comp.
Ciolina u. Comp.
Co.
Coiffeurgeschäft
Comp.
Confiserie
Damenfrisiersalon
Damensalon
Depart.
Departement
Depot
Direktion
Drogerie
Einrahmungsgeschäft
Einwohner-Mädchenschulhaus
Eisenbahndep.
Eisenbahndepart.
Eisenbahndepartement
Eisenbahntransport
Eisenhandlung
Elektrizitätswerk
Export
Fabrik
Fabrikation
Feinwäscherei
Finanzkontrolle
Firma
Firma
Frauenarbeitsschule
Fuhrhalterei
Garage
Gasanstalt
Gasthaus
Gasthof
Gaswerk
Gemeinde
Gemüsehandlung
Gen.-Dir.
Generalagentur
Generaldirektion
Generalstabsabteilung
Genossenschaft
Gesandtschaft
Gesellschaft
Gewerbe
Giesserei
Glätterei
Güterexpedition
Gymnasium
Hallwag
Handel
Handelsbank
Handelsgärtnerei
Handelsstatistik
Hauptkasse
Hauptpostgebäude
Heilsarmee
Holzhandlung
Hotel
Hôtel
Huber u. Cie.
Hypothekarkasse
Immobilien
Immobiliengesellschaft
Import
Industrie
Infanterie
Ingenieurbureau
Ingenieure
Inkasso
Inselspital
Installationsgeschäft
Institut
J-B-L
J.-B.-L.-B.
Kaffeehalle
Kantonalbank
Kantonsbuchhalterei
Kanzlei
Käsehandlung
Käsehdlg.
Kavallerie
Kiosk
Kirche
Kleinmetzgerei
Kolonialwaren
Kolonialwarenhandlung
Kolonialwarenhdlg.
Kommission
Konditorei
Konfiserie
Konsulat
Kostgeberei
Kraftwerke
Kriegsmaterialverwaltung
Kunstgewerbe
Kunsthandlung
Laboratorium
Landesbibliothek
Landestopographie
Landwirtschaft
Länggassschule
Lehrwerkstätten
Leihkasse
Lindenhof
Lingerie
Lorraineschule
Mädchenschule
Mädchensekundarschule
Magazin
Malergeschäft
Marcuard u. Comp.
Massgeschäft
Materialverwalt.
Mattenschule
Mercerie
Merceriegeschäft
Merceriehandlung
Merceriehdlg.
Metzgerei
Milchhandlung
Militärdep.
Militärdepart.
Militärdepartement
Militärdirektion
Militärversicherung
Möbelfabrik
Möbelhandlung
Möbelschreinerei
Modes
Münzstätte
Museum
Name
Nationalbank
Notariatsbureau
Notariatsbureau
Obergerichtskanzlei
Oberkriegskommissariat
Oberpostdir.
Oberpostdirektion
Oberpostkontrolle
Obertelegraphendirektion
Oberzolldirektion
OPD
OTD
OZD
Papeterie
Papeteriehandlg.
Pension
Personenbahnhof
Placierungsbureau
Polizeidepartement
Polizeidirektion
Postbureau
Postdepartem.
Primarschule
Privatklinik
Privatpension
Progymnasium
PTT
Redaktion
Reitschule
Reparaturwerkstätte
Rest.
Restaur.
Restaurant
Sachwalterbureau
Sanitätsgeschäft
Sattlerei
SBB
Schlosserei
Schmid Beringer u. Comp.
Schreinerei
Schuhhandlung
Schweinemetzgerei
Schweizergarten
Sekretariat
Sektion
SOB
Société
Sommer u. Comp.
Spenglerei
Spezereihandlg.
Spezereihandlung
Spezereihdlg.
Spezialgeschäft
SSB
Staatskanzlei
Staatskasse
Stadt
Stadtbauamt
Stadtpolizei
Station
Stellenvermittlung
Steuerverwaltung
Strafanstalt
Strassenbahnen
Sulgenbachschule
Telegraphendirektion
Telegr.-Direktion
Tiefbau
Tuchhandlung
Umbauten
Union
Universität
Verband
Verein
Verkauf
Verlag
Vertretung
Vertrieb
Verwaltung
Verwaltungsbureau
v. Graffenried v. Gi u. Comp.
Volksbank
Waffenfabrik
Waschanstalt
Wäscherei
Wasserversorgung
Wasserwirtschaft
Weinhandlg.
Weinhandlung
Weinhdlg.
Weltpostverein
Werkstätte
W.-F.
WF
Wirtschaft
Zehendermätteli
Zentralstelle
Zeughaus
Zigarrengeschäft
Zigarrenhandlung
Zigarrenhdlg.
Zweigniederlassung
